2019 Authorized Budget,,,,,March ,,,,April,,,,May,,,,June,,,,July,,,,August,,,,September,,,,October,,,,November,,,,December,,,,January,,,,February,,,,March,,,,April,,,,May ,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary
2069,FIREFIGHTER, 	1.00 ,FIRE," 	80,752 ",1356,FIREFIGHTER, 	1.00 ," 	74,139 ",1356,FIREFIGHTER,1.00," 	74,139 ",1356,FIREFIGHTER,1.00," 	74,139 ",1356,FIREFIGHTER,1.00," 	74,139 ",1356,FIREFIGHTER,1," 	75,621 ",1356,FIREFIGHTER,1," 	75,621 ",1356,FIREFIGHTER,1," 	75,621 ",1356,FIREFIGHTER,1," 	77,436 ",1356,FIREFIGHTER,1," 	77,436 ",1356,FIREFIGHTER,1," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER,1," 	78,211 ",1356,FIREFIGHTER,1," 	78,211 ",1356,FIREFIGHTER,1," 	78,211 ",1356,FIREFIGHTER, 	1.00 ," 	78,211 ",1356,FIREFIGHTER-13, 	1.00 ," 	78,211 ",1356,FIREFIGHTER-13, 	1.00 ," 	79,775 "
2070,FIRE APPARATUS ENGR, 	1.00 ,FIRE," 	78,382 ",1877,FIRE APPARATUS, 	1.00 ," 	73,486 ",1877,FIRE APPARATUS,1.00," 	73,486 ",1877,FIRE APPARATUS ENGR,1.00," 	73,486 ",1877,FIRE APPARATUS ENGR,1.00," 	73,486 ",1877,FIRE APPARATUS ENGR,1," 	74,956 ",1877,FIRE APPARATUS ENGR,1," 	74,956 ",1877,FIRE APPARATUS ENGR,1," 	74,956 ",1877,FIRE APPARATUS ENGR,1," 	74,956 ",1877,FIRE APPARATUS ENGR,1," 	74,956 ",1877,FIRE APPARATUS ENGR,1," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR,1," 	75,705 ",1877,FIRE APPARATUS ENGR,1," 	75,705 ",1877,FIRE APPARATUS ENGR,1," 	75,705 ",1877,FIRE APPARATUS ENGR, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR-13, 	1.00 ," 	75,705 ",1877,FIRE APPARATUS ENGR-13, 	1.00 ," 	77,219 "
2071,FIREFIGHTER, 	1.00 ,FIRE," 	78,229 ",1101,FIREFIGHTER, 	1.00 ," 	71,766 ",1101,FIREFIGHTER,1.00," 	73,545 ",1101,FIREFIGHTER,1.00," 	73,545 ",1101,FIREFIGHTER,1.00," 	73,545 ",1101,FIREFIGHTER,1," 	75,017 ",1101,FIREFIGHTER,1," 	75,017 ",1101,FIREFIGHTER,1," 	75,017 ",1101,FIREFIGHTER,1," 	75,017 ",1101,FIREFIGHTER,1," 	75,017 ",1101,FIREFIGHTER,1," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER,1," 	75,766 ",1101,FIREFIGHTER,1," 	75,766 ",1101,FIREFIGHTER,1," 	75,766 ",1101,FIREFIGHTER, 	1.00 ," 	75,766 ",1101,FIREFIGHTER-13, 	1.00 ," 	75,766 ",1101,FIREFIGHTER-13, 	1.00 ," 	77,282 "
2072,FIRE LIEUTENANT, 	1.00 ,FIRE," 	91,375 ",VACANT,, 	-   , 	-   ,VACANT,, 	-   , 	-   ,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,2711,FIRE LIEUTENANT,1," 	86,231 ",2711,FIRE LIEUTENANT,1," 	86,231 ",2711,FIRE LIEUTENANT,1," 	86,231 ",2711,FIRE LIEUTENANT,1," 	86,231 ",2711,FIRE LIEUTENANT,1," 	86,231 ",2711,FIRE LIEUTENANT,1," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT, 	1.00 ," 	87,094 ",2711,FIRE LIEUTENANT,1," 	87,094 ",2711,FIRE LIEUTENANT,1," 	87,094 ",2711,FIRE LIEUTENANT,1," 	88,499 ",2711,FIRE LIEUTENANT, 	1.00 ," 	88,499 ",2711,FIRE LIEUTENANT-13, 	1.00 ," 	88,499 ",2711,FIRE LIEUTENANT-13, 	1.00 ," 	90,269 "
2073,FIRE LIEUTENANT, 	1.00 ,FIRE," 	94,276 ",3196,FIRE LIEUTENANT, 	1.00 ," 	88,631 ",3196,FIRE LIEUTENANT,1.00," 	88,631 ",3196,FIRE LIEUTENANT,1.00," 	88,631 ",3196,FIRE LIEUTENANT,1.00," 	88,631 ",3196,FIRE LIEUTENANT,1," 	90,404 ",3196,FIRE LIEUTENANT,1," 	90,404 ",3196,FIRE LIEUTENANT,1," 	90,404 ",3196,FIRE LIEUTENANT,1," 	90,404 ",3196,FIRE LIEUTENANT,1," 	90,404 ",3196,FIRE LIEUTENANT,1," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT,1," 	91,308 ",3196,FIRE LIEUTENANT,1," 	91,308 ",3196,FIRE LIEUTENANT,1," 	91,308 ",3196,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT-13, 	1.00 ," 	91,308 ",3196,FIRE LIEUTENANT-13, 	1.00 ," 	93,134 "
2074,FIREFIGHTER, 	1.00 ,FIRE," 	76,336 ",1857,FIREFIGHTER, 	1.00 ," 	69,987 ",1857,FIREFIGHTER,1.00," 	69,987 ",1857,FIREFIGHTER,1.00," 	69,987 ",1857,FIREFIGHTER,1.00," 	69,987 ",1857,FIREFIGHTER,1," 	71,387 ",1857,FIREFIGHTER,1," 	73,201 ",1857,FIREFIGHTER,1," 	73,201 ",1857,FIREFIGHTER,1," 	73,201 ",1857,FIREFIGHTER,1," 	73,201 ",1857,FIREFIGHTER,1," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER,1," 	73,933 ",1857,FIREFIGHTER,1," 	73,933 ",1857,FIREFIGHTER,1," 	73,933 ",1857,FIREFIGHTER, 	1.00 ," 	73,933 ",1857,FIREFIGHTER-13, 	1.00 ," 	73,933 ",1857,FIREFIGHTER-13, 	1.00 ," 	75,412 "
2075,FIREFIGHTER, 	1.00 ,FIRE," 	75,760 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER,1.00," 	72,748 ",1766,FIREFIGHTER,1.00," 	72,748 ",1766,FIREFIGHTER,1.00," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER,1," 	72,748 ",1766,FIREFIGHTER, 	1.00 ," 	72,748 ",1766,FIREFIGHTER-13, 	1.00 ," 	72,748 ",1766,FIREFIGHTER-13, 	1.00 ," 	72,748 "
2076,FIREFIGHTER, 	1.00 ,FIRE," 	63,524 ",VACANT,, 	-   , 	-   ,7853,FIREFIGHTER,1.00," 	55,743 ",7853,FIREFIGHTER,1.00," 	55,743 ",7853,FIREFIGHTER,1.00," 	55,743 ",7853,FIREFIGHTER,1," 	56,858 ",7853,FIREFIGHTER,1," 	56,858 ",7853,FIREFIGHTER,1," 	56,858 ",7853,FIREFIGHTER,1," 	56,858 ",7853,FIREFIGHTER,1," 	56,858 ",7853,FIREFIGHTER,1," 	57,427 ",7853,FIREFIGHTER, 	1.00 ," 	57,427 ",7853,FIREFIGHTER, 	1.00 ," 	57,427 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER,1," 	59,265 ",7853,FIREFIGHTER,1," 	59,265 ",7853,FIREFIGHTER,1," 	59,265 ",7853,FIREFIGHTER, 	1.00 ," 	59,265 ",7853,FIREFIGHTER-13, 	1.00 ," 	59,265 ",7853,FIREFIGHTER-13, 	1.00 ," 	60,451 "
2078,FIREFIGHTER, 	1.00 ,FIRE," 	74,444 ",2070,FIREFIGHTER, 	1.00 ," 	68,208 ",2070,FIREFIGHTER,1.00," 	69,987 ",2070,FIREFIGHTER,1.00," 	69,987 ",2070,FIREFIGHTER,1.00," 	69,987 ",2070,FIREFIGHTER,1," 	71,387 ",2070,FIREFIGHTER,1," 	71,387 ",2070,FIREFIGHTER,1," 	71,387 ",2070,FIREFIGHTER,1," 	71,387 ",2070,FIREFIGHTER,1," 	71,387 ",2070,FIREFIGHTER,1," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER,1," 	72,100 ",2070,FIREFIGHTER,1," 	72,100 ",2070,FIREFIGHTER,1," 	72,100 ",2070,FIREFIGHTER, 	1.00 ," 	72,100 ",2070,FIREFIGHTER-13, 	1.00 ," 	72,100 ",2070,FIREFIGHTER-13, 	1.00 ," 	73,542 "
2079,FIRE APPARATUS ENGR, 	1.00 ,FIRE," 	84,790 ",4026,FIRE APPARATUS, 	1.00 ," 	77,222 ",4026,FIRE APPARATUS,1.00," 	77,222 ",4026,FIRE APPARATUS ENGR,1.00," 	81,582 ",4026,FIRE APPARATUS ENGR,1.00," 	77,222 ",4026,FIRE APPARATUS ENGR,1," 	78,767 ",4026,FIRE APPARATUS ENGR,1," 	78,767 ",4026,FIRE APPARATUS ENGR,1," 	78,767 ",4026,FIRE APPARATUS ENGR,1," 	78,767 ",4026,FIRE APPARATUS ENGR,1," 	81,308 ",4026,FIRE APPARATUS ENGR,1," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR,1," 	82,121 ",4026,FIRE APPARATUS ENGR,1," 	82,121 ",4026,FIRE APPARATUS ENGR,1," 	82,121 ",4026,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR-13, 	1.00 ," 	82,121 ",4026,FIRE APPARATUS ENGR-13, 	1.00 ," 	83,763 "
2080,FIREFIGHTER PARAMEDI, 	1.00 ,FIRE," 	71,477 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	61,317 ",6781,FIREFIGHTER PARAMEDI,1.00," 	61,317 ",6781,FIREFIGHTER PARAMEDI,1.00," 	63,281 ",6781,FIREFIGHTER PARAMEDI,1.00," 	63,281 ",6781,FIREFIGHTER PARAMEDI,1," 	64,546 ",6781,FIREFIGHTER PARAMEDI,1," 	64,546 ",6781,FIREFIGHTER PARAMEDI,1," 	64,546 ",6781,FIREFIGHTER PARAMEDI,1," 	64,546 ",6781,FIREFIGHTER PARAMEDI,1," 	64,546 ",6781,FIREFIGHTER PARAMEDI,1," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	65,192 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	73,260 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	73,260 ",6781,FIREFIGHTER PARAMEDI,1," 	73,260 ",6781,FIREFIGHTER PARAMEDI,1," 	73,260 ",6781,FIREFIGHTER PARAMEDI,1," 	75,276 ",6781,FIREFIGHTER PARAMEDI, 	1.00 ," 	75,276 ",6781,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	75,276 ",6781,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	76,782 "
2081,FIREFIGHTER PARAMEDI, 	1.00 ,FIRE," 	57,591 ",2745,FIREFIGHTER PARAMEDI, 	1.00 ," 	78,941 ",2745,FIREFIGHTER PARAMEDI,1.00," 	78,941 ",2745,FIREFIGHTER PARAMEDI,1.00," 	78,941 ",2745,FIREFIGHTER PARAMEDI,1.00," 	78,941 ",VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,3914,FIREFIGHTER-13, 	1.00 ," 	76,989 ",3914,FIREFIGHTER-13, 	1.00 ," 	76,989 ",3914,FIREFIGHTER-13, 	1.00 ," 	76,989 ",3914,FIREFIGHTER-13, 	1.00 ," 	76,989 ",3914,FIREFIGHTER-13, 	1.00 ," 	84,686 ",3914,FIREFIGHTER-13, 	1.00 ," 	84,686 ",3914,FIREFIGHTER-13,1," 	84,686 ",3914,FIREFIGHTER PARAMEDI,1," 	84,686 ",3914,FIREFIGHTER PARAMEDI,1," 	84,686 ",3914,FIREFIGHTER PARAMEDI, 	1.00 ," 	84,686 ",3914,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	84,686 ",3914,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	86,380 "
2082,FIRE APPARATUS ENGR, 	1.00 ,FIRE," 	81,478 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	75,977 ",3562,FIRE APPARATUS ENGR,1.00," 	75,977 ",3562,FIRE APPARATUS ENGR,1.00," 	75,977 ",3562,FIRE APPARATUS ENGR,1.00," 	75,977 ",3562,FIRE APPARATUS ENGR,1," 	77,496 ",3562,FIRE APPARATUS ENGR,1," 	77,496 ",3562,FIRE APPARATUS ENGR,1," 	78,132 ",3562,FIRE APPARATUS ENGR,1," 	78,132 ",3562,FIRE APPARATUS ENGR,1," 	78,132 ",3562,FIRE APPARATUS ENGR,1," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR,1," 	78,913 ",3562,FIRE APPARATUS ENGR,1," 	78,913 ",3562,FIRE APPARATUS ENGR,1," 	78,913 ",3562,FIRE APPARATUS ENGR, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR-13, 	1.00 ," 	78,913 ",3562,FIRE APPARATUS ENGR-13, 	1.00 ," 	80,491 "
2083,DIVISION FIRE CHIEF, 	1.00 ,FIRE," 	145,964 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	108,276 ",1246,DIVISION FIRE CHIEF,1.00," 	108,276 ",1246,DIVISION FIRE CHIEF,1.00," 	108,276 ",1246,DIVISION FIRE CHIEF,1.00," 	108,276 ",1246,DIVISION FIRE CHIEF,1," 	108,276 ",1246,DIVISION FIRE CHIEF,1," 	111,547 ",1246,DIVISION FIRE CHIEF,1," 	111,547 ",1246,DIVISION FIRE CHIEF,1," 	111,547 ",1246,DIVISION FIRE CHIEF,1," 	111,547 ",1246,DIVISION FIRE CHIEF,1," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF,1," 	112,662 ",1246,DIVISION FIRE CHIEF,1," 	112,662 ",1246,DIVISION FIRE CHIEF,1," 	112,662 ",1246,DIVISION FIRE CHIEF, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF-14, 	1.00 ," 	112,662 ",1246,DIVISION FIRE CHIEF-14, 	1.00 ," 	112,662 "
2084,FIRE APPARATUS ENGR, 	1.00 ,FIRE," 	85,344 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	79,713 ",1048,FIRE APPARATUS ENGR,1.00," 	79,713 ",1048,FIRE APPARATUS ENGR,1.00," 	79,713 ",1048,FIRE APPARATUS ENGR,1.00," 	79,713 ",1048,FIRE APPARATUS ENGR,1," 	81,308 ",1048,FIRE APPARATUS ENGR,1," 	81,308 ",1048,FIRE APPARATUS ENGR,1," 	81,308 ",1048,FIRE APPARATUS ENGR,1," 	81,308 ",1048,FIRE APPARATUS ENGR,1," 	81,308 ",1048,FIRE APPARATUS ENGR,1," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR,1," 	82,121 ",1048,FIRE APPARATUS ENGR,1," 	82,121 ",1048,FIRE APPARATUS ENGR,1," 	82,121 ",1048,FIRE APPARATUS ENGR, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR-13, 	1.00 ," 	82,121 ",1048,FIRE APPARATUS ENGR-13, 	1.00 ," 	83,763 "
2085,FIREFIGHTER PARAMEDI, 	1.00 ,FIRE," 	79,805 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	75,027 ",3306,FIREFIGHTER PARAMEDI,1.00," 	75,027 ",3306,FIREFIGHTER PARAMEDI,1.00," 	75,027 ",3306,FIREFIGHTER PARAMEDI,1.00," 	75,027 ",3306,FIREFIGHTER PARAMEDI,1," 	76,527 ",3306,FIREFIGHTER PARAMEDI,1," 	76,527 ",3306,FIREFIGHTER PARAMEDI,1," 	76,527 ",3306,FIREFIGHTER PARAMEDI,1," 	76,527 ",3306,FIREFIGHTER PARAMEDI,1," 	76,527 ",3306,FIREFIGHTER PARAMEDI,1," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDI,1," 	77,293 ",3306,FIREFIGHTER PARAMEDI,1," 	77,293 ",3306,FIREFIGHTER PARAMEDI,1," 	77,293 ",3306,FIREFIGHTER PARAMEDI, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	77,293 ",3306,FIREFIGHTER PARAMEDIC-13, 	1.00 ," 	78,839 "
2086,FIRE LIEUTENANT, 	1.00 ,FIRE," 	94,276 ",2035,FIRE LIEUTENANT, 	1.00 ," 	87,949 ",2035,FIRE LIEUTENANT,1.00," 	87,949 ",2035,FIRE LIEUTENANT,1.00," 	87,949 ",2035,FIRE LIEUTENANT,1.00," 	87,949 ",2035,FIRE LIEUTENANT,1," 	89,709 ",2035,FIRE LIEUTENANT,1," 	89,709 ",2035,FIRE LIEUTENANT,1," 	89,709 ",2035,FIRE LIEUTENANT,1," 	89,709 ",2035,FIRE LIEUTENANT,1," 	89,709 ",2035,FIRE LIEUTENANT,1," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT, 	1.00 ," 	90,606 ",2035,FIRE LIEUTENANT,1," 	90,606 ",2035,FIRE LIEUTENANT,1," 	90,606 ",2035,FIRE LIEUTENANT,1," 	91,308 ",2035,FIRE LIEUTENANT, 	1.00 ," 	91,308 ",2035,FIRE LIEUTENANT-13, 	1.00 ," 	91,308 ",2035,FIRE LIEUTENANT-13, 	1.00 ," 	93,134 "
