Incident,Date,Incident Type,Address,Longitude,Latitude,Time,Response
"Lamp Pole Starts On Fire Outside UW Residence Hall","02/18/2016","Outdoor","600 Block Elm Dr, Madison, WI","-85.384147","38.738851","2016-02-18T20:18:00-06:00","0:05:00"
"Cat To Blame For Gas Leak Scare","02/17/2016","Gas Leak","300 Block N. Brearly, Madison, WI","-89.368637","43.081282","2016-02-17T22:42:00-06:00","0"
"Lake Rescue Team Retrieves 2 People, 3 Dogs Off Lake Waubesa","02/15/2016","Lake Rescue","4200 Block Libby Rd./Lake Waubesa, Madison, WI","-89.401230","43.073052","2016-02-15T08:48:00-06:00","0:08:00"
"Two Stuck In Downtown Elevator After Kicking Control Panel","02/13/2016","Elevator","400 Block N. Frances St, Madison, WI","-89.395841","43.073204","2016-02-13T23:32:00-06:00","0:02:00"
"Engine 5 Called To Check Out RV Battery On North St.","02/13/2016","Vehicle","500 Block North St, Madison, WI","-89.351203","43.104978","2016-02-13T21:16:00-06:00","0:09:00"
"Everybody Safe After E. Gorham Fire Displaces At Least 10 People","02/13/2016","Structure","100 Block E. Gorham St, Madison, WI","-89.386682","43.078352","2016-02-13T20:15:00-06:00","-1 day, 16:36:00"
"East Side Teens Set Fire to Cardboard","02/13/2016","Outdoor","1000 Block Mayfair Ave, Madison, WI","-89.325811","43.112928","2016-02-13T16:27:00-06:00","0:04:00"
"Fire Causes Major Damage at West Side Restaurant","02/12/2016","Structure","5000 Block University Ave, Madison, WI","-89.466886","43.076089","2016-02-12T03:45:00-06:00","0:06:00"
"Firefighters Knock Down Vehicle Fire In Whitney Way Parking Lot","02/11/2016","Vehicle","600 Block S. Whitney Way, Madison, WI","-89.473622","43.053538","2016-02-11T18:31:00-06:00","0:05:00"
"Firefighters Inspect For Carbon Monoxide After Homeowner Falls Ill","02/11/2016","Carbon Monoxide","Bonner Lane, Madison, WI","-89.386447","43.143875","2016-02-11T16:37:00-06:00","0:07:00"
"Cast-Off Coat Activates Toaster In UW Dorm Room","02/10/2016","Appliance","1500 Block Tripp Circle, Madison, WI","-89.411475","43.077521","2016-02-10T14:24:00-06:00","0:05:00"
"Cracked Baking Stone Causes Small Grease Fire","02/09/2016","Cooking","5000 Block Stonehaven Dr, Madison, WI","-89.295120","43.068844","2016-02-09T19:34:00-06:00","0:07:00"
"Plastic Utensils Melt Inside Oven","02/09/2016","Cooking","4700 Block Sheboygan Ave, Madison, WI","-89.456848","43.073055","2016-02-09T17:05:00-06:00","0:04:00"
"Engine 9 Called To Investigate Chemical Odor Inside Home","02/08/2016","Hazmat","5100 Block Shawano Ave, Madison, WI","-89.465505","43.062548","2016-02-08T17:59:00-06:00","0:05:00"
"Intoxicated Cooking To Blame For Early-Morning Wake-Up Call","02/07/2016","Cooking","E. Gilman Street, Madison, WI","-89.387531","43.078976","2016-02-07T02:12:00-06:00","0:03:00"
"Christmas Tree Fire Puts End To Large Party on Park Street","02/06/2016","Outdoor","1800 Block S. Park St, Madison, WI","-89.394891","43.046992","2016-02-06T23:48:00-06:00","0:06:00"
"MFD Responds To Head-On Crash On Verona Rd.","02/06/2016","Vehicle","4500 Block Verona Rd, Madison, WI","-89.453240","43.036690","2016-02-06T22:21:00-06:00","0:07:00"
"Concession Operations Temporarily Halted After Popcorn Fire","02/06/2016","Cooking","1700 Block Wright Street, Madison, WI","-89.330438","43.120177","2016-02-06T15:18:00-06:00","0:05:00"
