Incident,Date,Incident Type,Address,Time
"Carbon Monoxide Incident Prompts Evacuation Of Apartment Complex","11/09/2018","Carbon Monoxide","4700 Block Jenewein Road, Madison, WI","2018-11-09T01:18:00-06:00"
"Three Injured In Mineral Point Road Crash","11/08/2018","Vehicle","Mineral Point Road & Rose Road, Madison, WI","2018-11-08T13:31:00-06:00"
"Fire Breaks Out After Cook Steps Away From Stove","11/06/2018","Cooking","1100 Block Morraine View Drive, Madison, WI","2018-11-06T18:13:00-06:00"
"Engine 9 Responds To Vehicle Fire","11/03/2018","Vehicle","2700 Block University Avenue, Madison, WI","2018-11-03T23:41:00-05:00"
"Water Problem At Downtown Condo Traced To Tampered Standpipe System","11/03/2018","Water Leak","100 Block Wisconsin Avenue, Madison, WI","2018-11-03T07:36:00-05:00"
"Heavy Smoke Produced By Leaf Burning Sends Firefighters To West Side Home","11/01/2018","Outdoor","4800 Block Regent Street, Madison, WI","2018-11-01T16:58:00-05:00"
"Damaged Water Heater Causes Carbon Monoxide Leak","10/31/2018","Carbon Monoxide","100 Block Division Street, Madison, WI","2018-10-31T20:30:00-05:00"
"Horse Kicks Back, Sending One To Hospital","10/31/2018","EMS","2000 Block Linden Drive, Madison, WI","2018-10-31T15:55:00-05:00"
"Lightning Strike Scorches Phone System In Northside Condominiums","10/30/2018","Lightning Strike","Cherokee Circle, Madison, WI","2018-10-30T14:21:00-05:00"
"Firefighters Respond To Gas Leak On East Side","10/29/2018","Gas Leak","1100 Block E. Mifflin Street, Madison, WI","2018-10-29T22:34:00-05:00"
"Willy Street Crash Sends Two To Hospital","10/28/2018","Vehicle","Williamson Street & Ingersoll Street, Madison, WI","2018-10-28T22:01:00-05:00"
"Vehicle Flees After Striking Ambulance On East Washington Avenue","10/28/2018","Vehicle","E. Washington Avenue & Portage Road, Madison, WI","2018-10-28T18:54:00-05:00"
"One Injured In Collision With Tree","10/27/2018","Vehicle","2300 Block Prairie Road, Madison, WI","2018-10-27T03:46:00-05:00"
"Furnace Problem Kicks Up Carbon Monoxide In Northside Home","10/26/2018","Carbon Monoxide","1000 Block Monica Lane, Madison, WI","2018-10-26T01:46:00-05:00"
"Car Takes Off, Crashes Through Home, As Medics Attempt To Contact Driver","10/21/2018","Vehicle","10 Block Madeline Island, Madison, WI","2018-10-21T10:56:00-05:00"
"Stove Fire Sends Crews To East Side Residence","10/21/2018","Appliance","500 Block Walton Place, Madison, WI","2018-10-21T09:57:00-05:00"
"Ten Rescued From Hotel Elevator","10/20/2018","Elevator","600 Block Langdon Street, Madison, WI","2018-10-20T22:08:00-05:00"
