Incident,Date,Incident Type,Address,Time
"Damaged Sprinkler Pipe Triggers Alarm At Downtown High Rise","12/28/2016","Water Leak","800 Block E. Washington Ave, Madison, WI","2016-12-28T07:02:00-06:00"
"Center Avenue home damaged by fire","12/27/2016","Structure","2700 Block Center Ave, Madison, WI 53704","2016-12-27T00:09:00-06:00"
"Firefighters Extinguish Shed Fire","12/25/2016","Structure","3300 Block Atwood Avenue, Madison, WI 53704","2016-12-25T06:08:00-06:00"
"Two People Rescued After Falling Through Ice","12/24/2016","Lake Rescue","3300 Block Fish Camp Road, McFarland, WI 53558","2016-12-24T07:19:00-06:00"
"Man Survives Cardiac Arrest With Help From CPR-Trained Son","12/23/2016","Assist Citizen","600 Block W. Dayton Street, Madison, WI 53703","2016-12-23T19:35:00-06:00"
"Firefighters Respond to Fire at SSM Health Care Center","12/23/2016","Structure","3400 Block Maple Grove Drive, Madison, WI 53719","2016-12-23T16:54:00-06:00"
"Firefighters Investigate Burning Smell Inside East Side Home","12/22/2016","Odor Investigation","1300 Block Meadowlark Drive, Madison, WI","2016-12-22T16:56:00-06:00"
"No Injuries Following Jeep Rollover On Milwaukee Street","12/22/2016","Vehicle","Milwaukee Street / Crystal Lane, Madison, WI","2016-12-22T03:23:00-06:00"
"Two Rescued From Stalled Elevator","12/21/2016","Elevator","600 Block N. Segoe Road, Madison, WI","2016-12-21T16:23:00-06:00"
"Firefighters Help Woman Who Fell In the Snow; Clear A Path To Her Home","12/21/2016","Assist Citizen","600 Block S. Segoe Rd, Madison, WI","2016-12-21T00:14:00-06:00"
"Construction Crew Asked To Put Out Fire In 'Burn Barrel'","12/20/2016","Outdoor","2600 Block Kendall Ave, Madison, WI","2016-12-20T14:44:00-06:00"
"One Removed From Stalled Elevator at Chavez Elementary School","12/19/2016","Elevator","3500 Block Maple Grove Road, Madison, WI","2016-12-19T09:57:00-06:00"
"Boiler Malfunction Temporarily Leaves Residents In the Cold","12/18/2016","Odor Investigation","500 Block W. Mifflin Street, Madison, WI","2016-12-18T23:33:00-06:00"
"Firefighters Free Man Trapped In Vehicle Hood","12/18/2016","Assist Citizen","2200 Block Catalpa Road, Madison, WI","2016-12-18T12:57:00-06:00"
"Unattended Pizza Rolls To Blame For Downtown Smoke Scare","12/16/2016","Smoke Scare","200 Block Langdon Street, Madison, WI","2016-12-16T01:02:00-06:00"
"Smoke Alarm Alerts Resident to Fire","12/15/2016","Structure","2000 Block Helena St, Madison, WI","2016-12-15T17:48:00-06:00"
"No Injuries In Car-Vs.-Tree Collision","12/14/2016","Vehicle","1600 Block Moorland Rd, Madison, WI","2016-12-14T16:52:00-06:00"
"Car Strikes East Towne Store; Nobody Injured","12/14/2016","Vehicle","4700 Block East Towne Blvd, Madison, WI 53703","2016-12-14T15:02:00-06:00"
"TV Breakdown Sends Firefighters To West-Side Duplex","12/13/2016","Smoke Scare","8500 Block Elderberry Road, Madison, WI","2016-12-13T19:33:00-06:00"
"Vehicle Fire Knocked Down on Pennsylvania Avenue","12/13/2016","Vehicle","2400 Block Pennsylvania Ave, Madison, WI","2016-12-13T07:36:00-06:00"
"Driver Uninjured Despite Rollover Crash On Milwaukee Street","12/13/2016","Vehicle","Milwaukee Street / S. Marquette Street, Madison, WI 53703","2016-12-13T06:03:00-06:00"
"Crash At Gammon Intersection Causes Injuries","12/12/2016","Vehicle","Gammon Lane / S. Gammon Road, Madison, WI 53703","2016-12-12T06:12:00-06:00"
"Two Taken To Hospital Following Traffic Crash","12/10/2016","Vehicle","Millpond Rd. / US Highway 12, Madison, WI","2016-12-10T20:48:00-06:00"
"Leaky Water Valve Floods, Significantly Damages West-Side Home","12/10/2016","Water Leak","9200 Block Bear Claw Way, Madison, WI","2016-12-10T15:12:00-06:00"
"Firefighters Investigate Gasoline Smell at East-Side Walmart","12/08/2016","Odor Investigation","4100 Block Nakoosa Trail, Madison, WI","2016-12-08T16:30:00-06:00"
"Odor Investigation At GEF 4 Building","12/07/2016","Odor Investigation","100 Block East Wilson Street, Madison, WI","2016-12-07T15:51:00-06:00"
"Four Displaced Following Fire on Webb Ave.","12/07/2016","Structure","3100 Block Webb Ave, Madison, WI","2016-12-07T05:27:00-06:00"
"Package Collides With Pipe Causing Water Leak at FedEx","12/05/2016","Water Leak","3900 Block Hanson Road, Madison, WI","2016-12-05T17:25:00-06:00"
"Kitchen Fire Totals Appliances; Nobody Injured","12/03/2016","Cooking","400 Block N. Few Street, Madison, WI 53703","2016-12-03T20:53:00-06:00"
"Smoke Scare Sends Fire Response To Downtown Parking Garage","12/03/2016","Smoke Scare","10 Block S. Bedford Street, Madison, WI 53703","2016-12-03T08:33:00-06:00"
"Small Oven Fire Sends Firefighters To Downtown Home","12/01/2016","Smoke Scare","500 Block W. Washington Ave, Madison, WI 53703","2016-12-01T09:40:00-06:00"
"Fire Displaces Person and Pet From Park Street Apartment","11/30/2016","Structure","200 Block S. Park Street, Madison, WI","2016-11-30T13:53:00-06:00"
"At Least 10 Displaced From Downtown High Rise","11/30/2016","Structure","100 Block N. Bedford Street, Madison, WI 53703","2016-11-30T12:40:00-06:00"
"Three Rescued, Transported Following Rollover Crash","11/30/2016","Vehicle","4800 Block Hayes Road, Madison, WI","2016-11-30T01:55:00-06:00"
"Small Umbrella Fire Triggers Alarm Downtown","11/29/2016","Structure","100 Block E. Wilson Street, Madison, WI","2016-11-29T17:46:00-06:00"
"Vehicle Fire At Elver Park Believed To Be Accidental","11/29/2016","Vehicle","1200 Block McKenna Blvd, Madison, WI","2016-11-29T10:15:00-06:00"
"MFD Called To Spring Harbor Park For Vehicle In Water","11/28/2016","Lake Rescue","Spring Harbor Park, Madison, WI 53705","2016-11-28T07:26:00-06:00"
"Nobody Injured In East Side Carbon Monoxide Incident","11/25/2016","Carbon Monoxide","1600 Block Kings Mill Way, Madison, WI","2016-11-25T13:59:00-06:00"
"Residents Displaced by East Madison Apartment Fire","11/24/2016","Structure","1300 Block Morrison Street, Madison, WI","2016-11-24T15:34:00-06:00"
"Small Electrical Fire Caught Early Thanks To Prompt 911 Call","11/23/2016","Electrical","5400 Block University Ave, Madison, WI","2016-11-23T07:06:00-06:00"
"Nobody Injured In Vehicle Vs. Building Crash","11/22/2016","Vehicle","6700 Block Odana Road, Madison, WI","2016-11-22T14:32:00-06:00"
"Small Oven Fire On Sycamore Ave.","11/21/2016","Cooking","3800 Block Sycamore Ave, Madison, WI","2016-11-21T21:27:00-06:00"
"Small Grease Fire Contained At East Towne Restaurant","11/21/2016","Cooking","4300 Block East Towne Blvd, Madison, WI","2016-11-21T07:27:00-06:00"
"Fire Causes Extensive Damage, Displacing Two From East-Side Home","11/20/2016","Structure","100 Block Acewood Blvd, Madison, WI","2016-11-20T22:47:00-06:00"
"Five Vehicles Damaged By Fire On Bridge Road","11/20/2016","Vehicle","6400 Block Bridge Road, Madison, WI","2016-11-20T00:22:00-06:00"
"Chemical Odor On East Johnson Street Identified","11/16/2016","Hazmat","800 Block East Johnson Street, Madison, WI","2016-11-16T12:40:00-06:00"
"Tank Ruptures, Spills Gallons Of Diesel At East Wash Intersection","11/15/2016","Vehicle","E. Washington Avenue & S. Patterson Street, Madison, WI","2016-11-15T13:13:00-06:00"
"Two Displaced By Small Fire On Calypso Road","11/14/2016","Structure","2500 Block Calypso Road, Madison, WI","2016-11-14T04:50:00-06:00"
"Garage Fire On Southwest Side","11/13/2016","Structure","Golden Oak Lane, Madison, WI 53715","2016-11-13T21:28:00-06:00"
"Tractor Trailer Clips Electrical Pole","11/09/2016","Electrical","Odana Rd/Monroe Street, Madison, WI","2016-11-09T17:23:00-06:00"
"Landscapers Hit Gas Supply Line","11/09/2016","Gas Leak","400 Block Wild Indigo Lane, Madison, WI 53717","2016-11-09T10:09:00-06:00"
"Nobody Home When Small Fire Ignites On Outdoor Balcony","11/07/2016","Structure","5100 Block Autumn Leaf Lane, Madison, WI","2016-11-07T21:40:00-06:00"
"MFD Called For Windsurfer Believed To Be In Distress","11/07/2016","Lake Rescue","1600 Block East Sherman Ave, Madison, WI 53703","2016-11-07T15:11:00-06:00"
"Engine 5 Responds To Dumpster Fire On Femrite Drive","11/06/2016","Trash/Rubbish","4400 Block Femrite Drive, Madison, WI","2016-11-06T14:09:00-06:00"
"Rented U-Haul Goes Up In Flames On West Side","11/06/2016","Vehicle","S. Whitney Way / Westbury Place, Madison, WI 53703","2016-11-06T13:48:00-06:00"
"Man Attacked By Pet Iguana Is Expected To Make Full Recovery","11/06/2016","Assist Citizen","Near-West Side, Madison, WI 53703","2016-11-06T11:25:00-06:00"
"Firefighters Respond To Wood Beam On Fire At Shorewood Hills Home","11/04/2016","Structure","Blackhawk Drive, Shorewood Hills, WI","2016-11-04T14:41:00-05:00"
"Books Left On Oven Prompt Fire Department Response Downtown","11/04/2016","Structure","300 Block W. Dayton Street, Madison, WI","2016-11-04T14:07:00-05:00"
"Engine 1 Confronts Gas Leak Emergency At 'Lucky' Business","11/04/2016","Gas Leak","700 Block University Ave, Madison, WI","2016-11-04T04:10:00-05:00"
"Overheated Fan Causes Smoke Scare On UW Campus","11/01/2016","Smoke Scare","1400 Block Engineering Drive, Madison, WI","2016-11-01T16:58:00-05:00"
"Fire Quickly Consumes Car In Downtown Madison","11/01/2016","Vehicle","E. Johnson Street / N. Blount Street, Madison, WI","2016-11-01T15:51:00-05:00"
"Mixture Of Drain Cleaners Creates Toxic Vapor On North Side","11/01/2016","Hazmat","East Bluff, Madison, WI 53703","2016-11-01T15:04:00-05:00"
"Cause Of Allied Drive Trash Fire Unknown","10/30/2016","Trash/Rubbish","2100 Block Allied Drive, Madison, WI","2016-10-30T00:29:00-05:00"
"Four Condos, Garages Ventilated Following Carbon Monoxide Spell","10/29/2016","Carbon Monoxide","5000 Block Siggelkow Road, Madison, WI","2016-10-29T23:30:00-05:00"
"Clothing Stuffed in Dryer Vent Causes Fire Damage","10/29/2016","Structure","1100 Block Woodvale Drive, Madison, WI","2016-10-29T15:54:00-05:00"
"Two Injured In Stoughton Road Crash","10/28/2016","Vehicle","S. Stoughton Rd. / Cottage Grove Rd, Madison, WI","2016-10-28T15:26:00-05:00"
"Student Cited For Fire At UW Dormitory","10/28/2016","Structure","600 Block W. Johnson Street, Madison, WI","2016-10-28T02:02:00-05:00"
"Driver Uninjured After Vehicle Rolls Into Construction Pit","10/26/2016","Vehicle","Hammersley Road / S. Midvale Boulevard, Madison, WI","2016-10-26T18:59:00-05:00"
"Automatic Sprinkler Puts Stop To Fire At West Side Retail Store","10/26/2016","Structure","7400 Block Mineral Point Road, Madison, WI","2016-10-26T02:56:00-05:00"
"Small Fire In Duct System At Local Manufacturing Plant","10/24/2016","Structure","1000 Block E. Main Street, Madison, WI 53703","2016-10-24T10:57:00-05:00"
"Cat Stranded On Rooftop Returns To Owner's Arms","10/23/2016","Special Rescue","500 Block Wynnwood Way, Madison, WI","2016-10-23T14:02:00-05:00"
"Distracted Driving Leads To Single-Vehicle Rollover On East Side","10/23/2016","Vehicle","W. Corporate Drive / Milwaukee Street, Madison, WI","2016-10-23T12:26:00-05:00"
"Brewing Kitchen Fire Caught Early Thanks To Alert Neighbor","10/22/2016","Cooking","100 Block S. Mills Street, Madison, WI","2016-10-22T16:03:00-05:00"
"Multiple Vehicle Accident on I-90","10/22/2016","Vehicle","Interstate 90, Madison, WI","2016-10-22T04:37:00-05:00"
"Kitchen Stove Used As Home Heat Source Triggers CO Alarm","10/22/2016","Carbon Monoxide","2800 Block Curry Parkway, Madison, WI","2016-10-22T03:10:00-05:00"
"Cooking Fire On North Side","10/21/2016","Cooking","1500 Block Troy Drive, Madison, WI","2016-10-21T17:27:00-05:00"
"Child Freed From Infant Swing At Local Park","10/20/2016","Assist Citizen","1600 Block Frisch Rd, Madison, WI","2016-10-20T17:35:00-05:00"
"Two-Car Crash At Packers Ave. Intersection","10/19/2016","Vehicle","Packers Ave. / International Ln, Madison, WI","2016-10-19T12:57:00-05:00"
"Empty Boat Sends Rescuers To Lake Monona","10/19/2016","Lake Rescue","Lake Monona, Madison, WI","2016-10-19T09:34:00-05:00"
"Engine 13 Responds To Residential Carbon Monoxide Leak","10/18/2016","Carbon Monoxide","100 Block Andrew Way, Madison, WI","2016-10-18T19:18:00-05:00"
"Paramedic Pushes Past Dog Bite To Revive Pulseless Patient","10/18/2016","Assist Citizen","West Side, Madison, WI 53706","2016-10-18T14:07:00-05:00"
"One Injured In Attempt To Avoid Collision Downtown","10/18/2016","Vehicle","N. Bassett Street / W. Dayton Street, Madison, WI","2016-10-18T13:15:00-05:00"
"Seven Taken To Hospital Following Crash On John Nolen Drive","10/16/2016","Vehicle","John Nolen Drive / North Shore Drive, Madison, WI","2016-10-16T14:38:00-05:00"
"Nobody Home As Carbon Monoxide Triggers Alarm In Downtown Apartment","10/16/2016","Carbon Monoxide","300 Block S. Hamilton Street, Madison, WI","2016-10-16T13:44:00-05:00"
"Firefighters Respond To Kitchen Fire On Near East Side","10/14/2016","Cooking","600 Block E. Johnson Street, Madison, WI","2016-10-14T21:04:00-05:00"
"One Injured In Early-Morning Crash","10/14/2016","Vehicle","Whitney Way / Mineral Point Road, Madison, WI","2016-10-14T05:40:00-05:00"
"Student Burns Bagels In Dorm Room; Intoxication A Factor","10/14/2016","Cooking","800 Block W. Johnson Street, Madison, WI","2016-10-14T01:10:00-05:00"
"One Rescued From East Towne Elevator","10/13/2016","Elevator","East Towne Mall, Madison, WI","2016-10-13T18:43:00-05:00"
"Lightning Strike The Suspected Cause Of Fire At Madison Sewerage Plant","10/12/2016","Structure","1600 Block Moorland Rd, Madison, WI","2016-10-12T07:00:00-05:00"
"Extensive Damage in High Rise Building Near Beltline","10/07/2016","Structure","2600 Block West Beltline Highway, Madison, WI","2016-10-07T20:43:00-05:00"
"Apartment Complex Evacuated After Carbon Monoixde Incident","10/06/2016","Carbon Monoxide","1400 Block Wayridge Drive, Madison, WI 53704","2016-10-06T20:38:00-05:00"
"Citizen Reports Smoking Washer in Laundry Mat","10/06/2016","Smoke Scare","900 Block Atlas Ave, Madison, WI 53714","2016-10-06T16:01:00-05:00"
"East Side Fire Results In $100,000 Loss; Family And Pets Okay","10/05/2016","Structure","5600 Block Rustic Woods Drive, Madison, WI","2016-10-05T10:46:00-05:00"
"Faulty Oven To Blame For Carbon Monoxide Leak On East Gorham","10/04/2016","Carbon Monoxide","1200 Block East Gorham St, Madison, WI 53703","2016-10-04T20:50:00-05:00"
"Five-Vehicle Crash On Seminole Highway","10/04/2016","Vehicle","Seminole Highway / Nakoma Road, Madison, WI 53703","2016-10-04T12:46:00-05:00"
"Nobody Injured After Crash Into North Side Credit Union","10/04/2016","Vehicle","1400 Block Northport Drive, Madison, WI 53703","2016-10-04T10:07:00-05:00"
"Apartment Suffers Smoke Damage Following Cooking Fire","10/02/2016","Cooking","200 Block Langdon Street, Madison, WI 53703","2016-10-02T17:24:00-05:00"
"One Pinned, Transported Following Early-Morning Crash","10/01/2016","Vehicle","N. Whitney Way / University Ave, Madison, WI","2016-10-01T01:56:00-05:00"
"North Side Dumpster Fire Under Investigation","09/30/2016","Trash/Rubbish","2800 Block Dryden Drive, Madison, WI","2016-09-30T14:06:00-05:00"
"Plugged Dryer Vent Kicks Up Smoke On Fourth Street","09/30/2016","Appliance","100 Block N. Fourth Street, Madison, WI 53703","2016-09-30T13:37:00-05:00"
"Oven Mitt Catches On Fire Inside Broiler","09/29/2016","Cooking","1000 Block Drake Street, Madison, WI","2016-09-29T22:17:00-05:00"
"Several Residents Affected By Power Outage After Apparent Hit-And-Run","09/27/2016","Electrical","5600 Block Old Middleton Road, Madison, WI","2016-09-27T21:22:00-05:00"
"Kitchen Fire Averted Thanks To Alert Neighbor","09/27/2016","Smoke Scare","1500 Block Trailsway, Madison, WI","2016-09-27T12:52:00-05:00"
"Tangled Cable Wires Temporarily Shut Down Stoughton Road Early Tuesday Morning","09/27/2016","Electrical","S. Stoughton Rd. / U.S. Highway 12, Madison, WI","2016-09-27T02:45:00-05:00"
"Engine 10 Responds To Gasoline Spill At North Side Parking Lot","09/26/2016","Vehicle","1800 Block Aberg Ave, Madison, WI","2016-09-26T18:55:00-05:00"
"Capitol Police Put A Stop To Vehicle Fire On the Square; Cause Unknown","09/26/2016","Vehicle","W. Main Street / S. Carroll Street, Madison, WI","2016-09-26T14:35:00-05:00"
"Ladder 2 Called To Possible Fire Off Beltline After Debris Catches Onto Passing Vehicle","09/26/2016","Vehicle","Mineral Point Rd. / Junction Rd, Madison, WI","2016-09-26T06:29:00-05:00"
"Three People Safe After Fire Consumes Vehicle On Northport Drive","09/25/2016","Vehicle","Northport Drive / Troy Drive, Madison, WI","2016-09-25T11:52:00-05:00"
"Firefighters Called For Waste Burning On Troy Drive","09/24/2016","Outdoor","1000 Block Troy Drive, Madison, WI","2016-09-24T15:30:00-05:00"
"Smoke Complaint Reveals Illegal Pig Roast On Pinckney","09/23/2016","Outdoor","300 Block N. Pinckney Street, Madison, WI","2016-09-23T19:48:00-05:00"
"Fog Machine Causes Smoke Scare On Jenifer Street","09/22/2016","Smoke Scare","1200 Block Jenifer Street, Madison, WI","2016-09-22T18:48:00-05:00"
"Passerby Catches Kitchen Fire Early On South Shore Drive","09/22/2016","Structure","500 Block South Shore Drive, Madison, WI","2016-09-22T18:45:00-05:00"
"Power Outage Disrupts Kitchen Operations At Segoe Gardens","09/22/2016","Smoke Scare","600 Block N. Segoe Road, Madison, WI","2016-09-22T13:09:00-05:00"
"Dancing In Dorm Elevator Leaves Two Students Stranded","09/21/2016","Elevator","10 Block N. Park Street, Madison, WI","2016-09-21T20:33:00-05:00"
"Carbon Monoxide From Running Car Affects Three Neighboring Condos","09/21/2016","Carbon Monoxide","3700 Block Design Pass, Madison, WI","2016-09-21T18:30:00-05:00"
"Lightning Strike Takes Out Electric Meter At Johnson Street Business","09/21/2016","Structure","1900 Block East Johnson Street, Madison, WI","2016-09-21T15:45:00-05:00"
"Fire Department, Other City Agencies Called For Flooded Basement at East Side YMCA","09/21/2016","Water Leak","700 Block Cottage Grover Road, Madison, WI","2016-09-21T05:01:00-05:00"
"Severed Power Line Causes Estimated $2000 In Damage On Maher Ave.","09/21/2016","Electrical","5100 Block Maher Ave, Madison, WI","2016-09-21T04:48:00-05:00"
"Smoldering Trash Bin Discovered Downtown","09/20/2016","Trash/Rubbish","500 Block East Johnson Street, Madison, WI","2016-09-20T17:17:00-05:00"
"Flooded Intersection Leaves Three Vehicles Stranded; One Passenger Rescued","09/19/2016","Vehicle","Rose Place / University Ave, Madison, WI","2016-09-19T16:36:00-05:00"
"Ladder 6 Called To Limousine Fire","09/17/2016","Vehicle","Baird Street / Bram Street, Madison, WI","2016-09-17T21:14:00-05:00"
"Fire Department Dispatched For Struggling Kayaker; Finds Frolicking Beaver","09/16/2016","Lake Rescue","Lake Monona, Madison, WI","2016-09-16T19:11:00-05:00"
"Gas Leak Prompts Downtown Building Evacuation","09/16/2016","Gas Leak","400 Block N. Pinckney Street, Madison, WI 53703","2016-09-16T16:31:00-05:00"
"Motorist Drives Off After Gasoline Ignites At Gas Station","09/15/2016","Outdoor","3000 Block East Washington Ave, Madison, WI","2016-09-15T12:12:00-05:00"
"Soldering Project Ignites Accidental Fire On Bassett Street","09/14/2016","Structure","10 Block N. Bassett Street, Madison, WI","2016-09-14T11:41:00-05:00"
"Four Displaced After Fire Spreads In Northside Kitchen","09/13/2016","Structure","400 Block Troy Drive, Madison, WI","2016-09-13T19:12:00-05:00"
"Firefighters Called For Malfunctioning Elevator At UW Dorm","09/13/2016","Elevator","800 Block W. Johnson Street, Madison, WI","2016-09-13T19:05:00-05:00"
"Melted Bottle Cap To Blame For Mysterious Odor In East Side Home","09/13/2016","Odor Investigation","6800 Block Fieldwood Road, Madison, WI","2016-09-13T10:28:00-05:00"
"Unattended Cooking Fire Displaces Family, Pets On Piccadilly Drive","09/13/2016","Cooking","5200 Block Piccadilly Drive, Madison, WI","2016-09-13T09:40:00-05:00"
"Smoke Under Mobile Home Traced To Burned Wires","09/11/2016","Electrical","400 Block Warbler Lane, Madison, WI","2016-09-11T18:26:00-05:00"
"Faulty Battery Likely Cause Of Fire Door Activation At Area Food Bank","09/09/2016","Electrical","2800 Block Dairy Drive, Madison, WI","2016-09-09T13:02:00-05:00"
"One Pinned, Transported Following Crash On Schroeder Road","09/07/2016","Vehicle","6700 Block Schroeder Road, Madison, WI","2016-09-07T12:15:00-05:00"
"All OK After Apartment Building Is Evacuated For Suspected Gas Leak","09/07/2016","Gas Leak","2900 Block Curry Parkway, Madison, WI","2016-09-07T01:45:00-05:00"
"Automatic Sprinkler Quickly Catches Kitchen Fire at Downtown Restaurant","09/07/2016","Cooking","400 Block State Street, Madison, WI","2016-09-07T00:38:00-05:00"
"Dryer Fire Scare on Mifflin Street","09/06/2016","Structure","500 Block Mifflin Street, Madison, WI 53703","2016-09-06T20:02:00-05:00"
"Witnesses Report 'Mini-Motorcycle' On Fire On East Side Bridge","09/06/2016","Vehicle","N. Marquette Street / Darbo Drive, Madison, WI","2016-09-06T19:51:00-05:00"
"Oven Catches Fire On Mayfair Ave.","09/05/2016","Structure","1000 Block Mayfair Ave, Madison, WI","2016-09-05T11:56:00-05:00"
"Firefighters Respond To Cooking Fire On Moorland Road","09/04/2016","Cooking","1100 Block Moorland Rd, Madison, WI","2016-09-04T15:50:00-05:00"
"Smoke Scare Uncovers Overloaded Power Strip In Downtown Condo","09/03/2016","Smoke Scare","300 Block S. Hamilton Street, Madison, WI","2016-09-03T14:55:00-05:00"
"Commercial Oven Fire","09/02/2016","Cooking","","2016-09-02T00:02:00-05:00"
"Overloaded Dryer Catches Fire In University Ave. Laundry Room","09/01/2016","Appliance","6200 Block University Ave, Madison, WI","2016-09-01T22:37:00-05:00"
"Teen Injured Following Vehicle Rollover In School Parking Lot","09/01/2016","Vehicle","700 Block Pflaum Road, Madison, WI","2016-09-01T13:25:00-05:00"
"Vehicle Fire Extends To Neighboring Car On Calypso Road","09/01/2016","Vehicle","2400 Block Calypso Road, Madison, WI","2016-09-01T04:44:00-05:00"
"Semi Rollover Causes Traffic Backup on Stoughton Rd. at Highway 30","08/31/2016","Vehicle","N. Stoughton Road / Highway 30, Madison, WI","2016-08-31T08:02:00-05:00"
"Toxic Chemical Combo Brings Firefighters and Paramedics To DOC","08/30/2016","Hazmat","3000 Block E. Washington Ave, Madison, WI","2016-08-30T17:32:00-05:00"
"Construction Site Temporarily Evacuated; Mysterious Gas Odor To Blame","08/30/2016","Gas Leak","10 Block W. Main Street, Madison, WI","2016-08-30T08:43:00-05:00"
"Firefighters Assist Man With Trailer Troubles On Midvale","08/29/2016","Assist Citizen","Madison, WI","2016-08-29T16:32:00-05:00"
"Broken Belt Creates Smoky Situation In Bridge Road Basement","08/29/2016","Excessive heat/scorch","6400 Block Bridge Rd, Madison, WI","2016-08-29T10:54:00-05:00"
"Nobody Injured Or Displaced By Small Fire On East Side","08/28/2016","Structure","Prairie Rose Road, Madison, WI","2016-08-28T19:47:00-05:00"
"Suspicious Fire Damages Southside Home, Displaces 4 Residents","08/27/2016","Structure","200 Block Koster Street, Madison, WI 53713","2016-08-27T04:54:00-05:00"
"MFD Assists Sun Prairie Fire In Town Of Burke","08/26/2016","Structure","6000 Block Portage Road, Madison, WI","2016-08-26T16:19:00-05:00"
"1 Transported With Injuries Following House Fire On Fifth Street","08/26/2016","Structure","100 Block N. Fifth Street, Madison, WI","2016-08-26T06:56:00-05:00"
"Firefighters Help Woman Off the Floor, Walk Her To Dinner","08/24/2016","Assist Citizen","600 Block N. Segoe Road, Madison, WI","2016-08-24T16:59:00-05:00"
"Weather-Damaged Mustang Takes A Turn For the Worse","08/24/2016","Vehicle","1900 Block Freeport Road, Madison, WI","2016-08-24T14:33:00-05:00"
"No Damage Following Small Cooking Fire On Prairie Road","08/23/2016","Cooking","3300 Block Prairie Rd, Madison, WI","2016-08-23T19:46:00-05:00"
"Hand Freed From Home Garbage Disposal","08/22/2016","Assist Citizen","Madison, WI","2016-08-22T13:08:00-05:00"
"Basement Fire Displaces Family Of Six","08/22/2016","Structure","2400 Block Lafollette Ave, Madison, WI","2016-08-22T11:59:00-05:00"
"Smoking Vehicle Summons Firefighters To Downtown Lot","08/22/2016","Vehicle","100 Block N. Blair Street, Madison, WI","2016-08-22T10:33:00-05:00"
"One Transported Following Rollover Crash On East Washington Ave.","08/21/2016","Vehicle","East Washington Avenue & Sparkle Court, Madison, WI","2016-08-21T20:51:00-05:00"
"Vehicle Crashes Into Building, Three People Injured","08/21/2016","Vehicle","1100 Block Williamson Street, Madison, WI","2016-08-21T02:46:00-05:00"
"Firefighters Rescue Dog Trapped Under Lakeshore Dock","08/20/2016","Special Rescue","Lakeshore Path, Madison, WI 53705","2016-08-20T18:52:00-05:00"
"Vehicle Totaled By Fire In Engine Compartment","08/20/2016","Vehicle","700 Block S. Gammon Road, Madison, WI","2016-08-20T18:52:00-05:00"
"Lightning Strikes Home On East Side","08/19/2016","Structure","3800 Block Sunbrook Rd, Madison, WI","2016-08-19T07:53:00-05:00"
"Two Displaced, One Injured by Early Morning Fire","08/19/2016","Structure","800 Block Sky Ridge Drive, Madison, WI","2016-08-19T04:18:00-05:00"
"Firefighters Rescue Man Trapped Inside Bobcat","08/18/2016","Vehicle","Buena Vista St, Madison, WI","2016-08-18T10:01:00-05:00"
"Smoke Odor Alarms Child Care Staff On Park Street","08/17/2016","Smoke Scare","2200 Block S. Park Street, Madison, WI","2016-08-17T13:58:00-05:00"
"Oil Cleanup Materials Smolder Outside West Side Restaurant","08/16/2016","Outdoor","700 Block S. Gammon Road, Madison, WI","2016-08-16T18:53:00-05:00"
"Tree Falls On Capitol Lawn, Injuring Two","08/16/2016","Assist Citizen","Carroll Street & W. Washington Avenue, Madison, WI","2016-08-16T18:28:00-05:00"
"Home Evacuated Following Small Gas Leak","08/16/2016","Gas Leak","Eliot Ln, Madison, WI","2016-08-16T13:30:00-05:00"
"Madison Fire Department Assists With Small Spill On UW Campus","08/16/2016","Hazmat","700 Block Highland Ave, Madison, WI","2016-08-16T02:28:00-05:00"
"Multiple Occupants Displaced By Fire At River's Edge Apartments","08/14/2016","Structure","1700 Block Fordem Ave, Madison, WI","2016-08-14T22:12:00-05:00"
"Firefighters Cut Balcony Cookout Short","08/14/2016","Smoke Scare","1700 Block Fordem Ave, Madison, WI","2016-08-14T16:31:00-05:00"
"Lake Rescue Team, Engine 3 Aid Distressed Swimmer","08/13/2016","Lake Rescue","1000 Block Wisconsin Ave, Madison, WI","2016-08-13T14:46:00-05:00"
"Large Grease Spill On West Side Summons Fire Crews, HazMat Team","08/13/2016","Hazmat","700 Block S. Gammon Road, Madison, WI","2016-08-13T08:56:00-05:00"
"Gasoline Spill Discovered In North Side Parking Lot","08/13/2016","Gas Leak","500 Block East Bluff, Madison, WI","2016-08-13T00:54:00-05:00"
"Creative Mosquito Abatement Method Quickly Swatted Away","08/11/2016","Outdoor","500 Block Oak Street, Madison, WI","2016-08-11T22:28:00-05:00"
"Engine Co. 12 Helps Locked-In AAA Employee","08/11/2016","Assist Citizen","8400 Block Excelsior Drive, Madison, WI","2016-08-11T16:00:00-05:00"
"One Injured In Cooking Fire On North Side","08/11/2016","Cooking","Northridge Terrace, Madison, WI","2016-08-11T15:38:00-05:00"
"Emergency Crews Called Twice To Full Compass Systems","08/11/2016","Hazmat","9700 Block Silicon Prairie Parkway, Madison, WI","2016-08-11T09:57:00-05:00"
"Marsh Road Business Briefly Evacuated For Small Fire","08/11/2016","Structure","3700 Block Marsh Rd, Madison, WI","2016-08-11T06:20:00-05:00"
"Jet Ski Capsizes On Lake Mendota; No Injuries","08/10/2016","Lake Rescue","Lake Mendota, Madison, WI","2016-08-10T17:51:00-05:00"
