DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
1765.57,574,43.13247,-89.290654,8341,0.0,0.0,SB Crossroads ns Wall ,9720,0.51,0.51,0.35,0.35,0,0,"[-89.29064799271535, 43.13246204198064]"
5017.45,588,43.135761,-89.31552,8342,0.0,0.0,NB Portage fs Rieder ,9723,0.0,0.0,1.0,1.0,0,0,"[-89.31551398615787, 43.13575304287432]"
1675.53,555,43.120357,-89.334334,8343,2.0,2.0,WB Anderson fs Hoffman ,9724,1.01,1.01,0.34,0.34,0,0,"[-89.33432798158564, 43.12034904645575]"
7823.22,895,43.125574,-89.329781,8344,0.0,0.0,EB Kinsman fs Wright ,9725,0.0,0.0,1.56,1.56,0,0,"[-89.3297749825433, 43.12556604525304]"
2792.56,134,43.127404,-89.348779,8345,0.0,0.0,NB International op Elder Care ,9729,0.0,0.0,0.56,0.56,0,0,"[-89.34877297710354, 43.12739604588595]"
12831.73,535,43.106989,-89.309872,8346,0.0,0.0,NB Walsh fs Commercial ,9733,1.0,1.0,2.57,2.57,0,0,"[-89.30986598967502, 43.10698104732441]"
27439.59,874,43.107077,-89.33114,8347,3.53,3.53,WB N Commercial fs N Fair Oaks ,9740,4.49,4.49,5.49,5.49,0,0,"[-89.33113398381406, 43.1070690486572]"
16478.63,603,43.150682,-89.290001,8348,0.5,0.5,WB Buttonwood fs American Fam ,9744,3.59,3.59,3.3,3.3,0,0,"[-89.28999499168212, 43.15067403903832]"
25663.45,545,43.112151,-89.296054,8349,1.01,1.01,NB N Thompson fs Golden Lf ,9745,3.52,3.52,5.13,5.13,0,0,"[-89.29604799319998, 43.1121430456709]"
4119.66,910,43.146171,-89.291518,8350,0.0,0.0,EB E Terrace ns Eastpark ,9747,1.03,1.03,0.82,0.82,0,0,"[-89.29151199145295, 43.14616303982204]"
69686.78,551,43.11533,-89.327423,8351,8.51,8.51,WB East Wash fs Schmedeman ,9750,5.51,5.51,13.94,13.94,0,0,"[-89.32741698448976, 43.115322047222726]"
64158.64,194,43.109301,-89.312042,8352,15.59,15.59,EB Nakoosa op Walmart ,9753,18.59,18.59,12.83,12.83,0,0,"[-89.31203598950643, 43.10929304701913]"
13379.86,893,43.12545,-89.309199,8353,1.0,1.0,NB Eagan fs East Towne ,9759,3.5,3.5,2.68,2.68,0,0,"[-89.30919298881304, 43.125442044317104]"
95959.01,537,43.108743,-89.299049,8354,6.03,6.03,SB N Thompson ns Jana ,9770,5.53,5.53,19.19,19.19,0,0,"[-89.29904299318387, 43.108735046443165]"
2231.6,535,43.106855,-89.310181,8355,0.0,0.0,SB Walsh ns Commercial ,9778,1.0,1.0,0.45,0.45,0,0,"[-89.31017499002716, 43.10684704737694]"
13879.69,567,43.127445,-89.307009,8356,1.01,1.01,EB East Towne fs Independence ,9783,0.0,0.0,2.78,2.78,0,0,"[-89.3070029890679, 43.12743704373719]"
53972.06,859,43.099278,-89.288582,8357,0.0,0.0,NB N Thompson fs Milwaukee ,9785,0.0,0.0,10.79,10.79,0,0,"[-89.28857599728322, 43.09927004769387]"
29044.62,144,43.125518,-89.32726,8358,0.0,0.0,EB Kinsman ns N Stoughton ,9787,0.0,0.0,5.81,5.81,0,0,"[-89.32725398373368, 43.12551004471169]"
29601.1,564,43.125256,-89.350239,8359,1.0,1.0,SB International fs American ,9790,0.0,0.0,5.92,5.92,0,0,"[-89.35023297596679, 43.12524804650192]"
2354.09,587,43.135691,-89.287732,8360,0.0,0.0,NB City View ns Burke ,9793,0.0,0.0,0.47,0.47,0,0,"[-89.28772599395107, 43.13568304158541]"
7247.43,565,43.125507,-89.323307,8361,1.5,1.5,EB Kinsman ns Bartillon ,9797,0.0,0.0,1.45,1.45,0,0,"[-89.32330098438247, 43.12549904473051]"
5601.09,883,43.110801,-89.330678,8362,0.0,0.0,SB N Fair Oaks ns Lexington ,9802,0.0,0.0,1.12,1.12,0,0,"[-89.3306719842758, 43.110793048142604]"
0.0,608,43.154599,-89.285272,8363,0.0,0.0,NB American ns Tancho ,9803,0.0,0.0,0.0,0.0,0,0,"[-89.28526599303564, 43.154591038142904]"
252544.89,147,43.126428,-89.31089,8364,37.54,37.54,WB East Wash fs Eagan ,9810,22.53,22.53,50.51,50.51,0,0,"[-89.31088398799733, 43.126420043968515]"
7810.62,525,43.101386,-89.301421,8365,1.51,1.51,NB Swanton ns Easley ,9811,1.0,1.0,1.56,1.56,0,0,"[-89.30141499362111, 43.1013780475066]"
138359.5,194,43.109301,-89.312523,8366,22.63,22.63,WB Nakoosa at Walmart ,9812,18.09,18.09,27.67,27.67,0,0,"[-89.3125169895041, 43.109293047074964]"
12845.76,135,43.129033,-89.348308,8367,0.0,0.0,NB International fs Darwin ,9817,1.01,1.01,2.57,2.57,0,0,"[-89.34830197692102, 43.129025046017226]"
8827.84,1008,43.142716,-89.284728,8368,0.0,0.0,WB Hi Crossing fs Cross Hill ,9822,0.0,0.0,1.77,1.77,0,0,"[-89.28472199386295, 43.142708040095144]"
8827.84,587,43.135557,-89.288029,8369,3.02,3.02,SB City View fs Burke ,9826,1.03,1.03,1.77,1.77,0,0,"[-89.28802299377571, 43.13554904103339]"
7650.79,604,43.150891,-89.293313,8370,1.01,1.01,NB Biltmore fs Buttonwood ,9829,0.0,0.0,1.53,1.53,0,0,"[-89.2933069899877, 43.15088303888106]"
24636.67,143,43.111179,-89.346808,8371,8.55,8.55,NB Shopko fs Aberg ,9837,5.56,5.56,4.93,4.93,0,0,"[-89.34680197895273, 43.11117104840575]"
8362.41,157,43.138148,-89.300565,8372,3.5,3.5,WB Forest Run fs Hayes ,9842,3.0,3.0,1.67,1.67,0,0,"[-89.30055898947212, 43.13814004171258]"
47421.6,180,43.107079,-89.300732,8373,8.55,8.55,SB N Thompson ns Commercial ,9844,7.54,7.54,9.48,9.48,0,0,"[-89.30072599239232, 43.107071046678264]"
3909.58,560,43.121951,-89.349502,8374,0.0,0.0,EB Anderson fs Pankratz ,9847,0.0,0.0,0.78,0.78,0,0,"[-89.34949597685375, 43.12194304724956]"
2234.04,557,43.121056,-89.310824,8375,0.0,0.0,EB Lien fs Thierer ,9849,0.0,0.0,0.45,0.45,0,0,"[-89.3108179882044, 43.12104804493027]"
32334.67,155,43.135714,-89.302349,8376,0.5,0.5,NB Forest Run fs Anniversary ,9857,2.0,2.0,6.47,6.47,0,0,"[-89.30234298887757, 43.135706042249225]"
10152.67,247,43.125343,-89.299933,8377,0.5,0.5,WB E Springs ns Zeier ,9860,0.5,0.5,2.03,2.03,0,0,"[-89.29992699147277, 43.12533504324167]"
156143.13,553,43.117655,-89.323788,8378,21.01,21.01,WB East Wash ns Mac Arthur ,9874,17.08,17.08,31.23,31.23,0,0,"[-89.32378198462081, 43.117647045883864]"
79674.28,525,43.101251,-89.301718,8379,4.02,4.02,SB Swanton fs Easley ,9880,1.51,1.51,15.93,15.93,0,0,"[-89.30171199262539, 43.101243047693124]"
83127.28,538,43.109788,-89.296713,8380,8.55,8.55,SB N Thompson ns Mesta ,9892,8.04,8.04,16.63,16.63,0,0,"[-89.29670699373574, 43.109780046344355]"
14494.85,885,43.11312,-89.330094,8381,2.0,2.0,EB East Wash fs Wright ,9897,2.0,2.0,2.9,2.9,0,0,"[-89.33008798393494, 43.113112047449484]"
30696.36,164,43.156741,-89.287653,8382,0.0,0.0,SB Am Fam Dr at Hq Bldg ,9900,0.0,0.0,6.14,6.14,0,0,"[-89.28764699162618, 43.15673303747526]"
15301.59,1002,43.145256,-89.290123,8383,0.5,0.5,EB E Terrace at Uw Clinic ,9901,0.0,0.0,3.06,3.06,0,0,"[-89.29011699196691, 43.14524803971834]"
3948.26,149,43.127002,-89.301734,8384,1.0,1.0,NB Zeier at Toys-r-us East ,9917,0.0,0.0,0.79,0.79,0,0,"[-89.30172799036009, 43.12699404355056]"
31792.86,144,43.125876,-89.325889,8385,0.0,0.0,WB Kinsman fs N Stoughton ,9918,0.0,0.0,6.36,6.36,0,0,"[-89.32588298323084, 43.12586804475679]"
3457.68,897,43.128858,-89.305042,8386,1.01,1.01,WB East Towne fs Zeier ,9928,0.0,0.0,0.69,0.69,0,0,"[-89.30503598958101, 43.12885004355772]"
7062.27,1009,43.146141,-89.297845,8387,0.5,0.5,SB Eastpark at Globe Univ ,9932,0.0,0.0,1.41,1.41,0,0,"[-89.2978389893708, 43.14613304016658]"
1672.48,901,43.138392,-89.313094,8388,1.0,1.0,NB Portage ns Tomscot ,9939,0.0,0.0,0.33,0.33,0,0,"[-89.31308798600614, 43.138384041835636]"
10600.12,548,43.114166,-89.295951,8389,3.02,3.02,NB N Thompson fs Sycamore ,9951,3.52,3.52,2.12,2.12,0,0,"[-89.29594499341668, 43.11415804527614]"
20009.77,576,43.132915,-89.287676,8390,10.57,10.57,NB City View fs Wall ,9957,2.56,2.56,4.0,4.0,0,0,"[-89.28766999394307, 43.13290704214037]"
50211.11,882,43.110051,-89.309817,8391,1.51,1.51,NB Walsh ns Nakoosa ,9967,5.02,5.02,10.04,10.04,0,0,"[-89.30981099039947, 43.11004304649465]"
9477.4,147,43.126956,-89.310864,8392,2.0,2.0,NB Continental fs East Wash ,9975,3.0,3.0,1.9,1.9,0,0,"[-89.31085798841121, 43.12694804387311]"
12264.87,157,43.137915,-89.300516,8393,0.0,0.0,EB Forest Run ns Hayes ,9977,2.0,2.0,2.45,2.45,0,0,"[-89.30050999007035, 43.13790704116737]"
85345.43,558,43.12125,-89.318323,8394,17.51,17.51,WB East Wash fs Lien ,9984,15.58,15.58,17.07,17.07,0,0,"[-89.3183169867997, 43.12124204491407]"
11149.88,151,43.133385,-89.301303,8395,1.0,1.0,EB E Wash Ft op 4810 ,9993,2.0,2.0,2.23,2.23,0,0,"[-89.30129698982672, 43.13337704234983]"
152367.42,893,43.124886,-89.309002,8396,29.61,29.61,SB Eagan fs East Towne ,9996,25.17,25.17,30.47,30.47,0,0,"[-89.30899598910237, 43.124878043836084]"
7325645.99,109,43.038895,-89.394824,6294,769.94,769.94,SOUTH TRANSFER POINT,4100,539.88,539.88,1465.13,1465.13,0,0,"[-89.39481797199609, 43.03888706322148]"
7295144.06,133,43.113253,-89.35854,6295,585.12,585.12,NORTH TRANSFER POINT,5100,473.08,473.08,1459.03,1459.03,0,0,"[-89.3585339751513, 43.11324504848609]"
