MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
6426.0,For Odana only,85,,"[-89.50816393680554, 43.060779065836016]",55013.0,43.06077907,-89.50816394,WB MINERAL PT fs WESTFIELD 
6166.0,,86,,"[-89.51785993362876, 43.060673066667064]",51014.0,43.06067307,-89.51785993,WB MINERAL PT fs HIGH PT 
,,87,,"[-89.51693093397915, 43.06038506581037]",52014.0,43.06038507,-89.51693093,EB MINERAL PT fs HIGHT PT
,"New stop along east-west section of ring road, for Min Pt only",88,,"[-89.50666193676832, 43.05981406613733]",54011.0,43.05981407,-89.50666194,EB WEST TOWNE NORTH
,,89,,"[-89.49167494183341, 43.0606830652276]",54010.0,43.06068307,-89.49167494,EB MINERAL PT fs YELLOWSTONE 
,,90,,"[-89.47814094590146, 43.06071406420025]",54009.0,43.06071407,-89.47814095,EB MINERAL PT fs ROSA 
,"Configuration of WTP to be determined, for Min Pt alignment only",91,,"[-89.47311194635354, 43.06072906411789]",54008.0,43.06072907,-89.47311195,WEST TRANSFER POINT (RELOCATED)
,"New stop, for Odana only",92,,"[-89.50794393715051, 43.06001106582505]",56013.0,43.06001107,-89.50794394,SB WESTFIELD fs MINERAL PT
6350.0,Construct new in lane stop south of existing pull out,93,,"[-89.5039659378405, 43.05738106603971]",56012.0,43.05738107,-89.50396594,SB W TOWNE RNG at SHELTER 
6223.0,,94,,"[-89.49613594060615, 43.056390066164376]",56011.0,43.05639007,-89.49613594,EB ODANA fs GRND CANYON 
6169.0,Consider relo to far side,95,,"[-89.485585944367, 43.05324706538972]",56010.0,43.05324707,-89.48558594,EB ODANA fs RESEARCH PK 
6100.0,Configuration of WTP to be determined,96,,"[-89.47589794640332, 43.05387806508472]",56009.0,43.05387807,-89.47589795,EB WTP
2401.0,Only Odana would stop here,97,,"[-89.47201694672577, 43.06131506401006]",56008.0,43.06131506,-89.47201695,NB WHITNEY fs MINERAL PT 
